PolicyNumber,CustomerID,Gender,Age,PolicyType,PolicyStartDate,PolicyEndDate,PremiumAmount,CoverageAmount,ClaimNumber,ClaimDate,ClaimAmount,ClaimStatus
P3883,C3883,Female,65,Travel,06-09-2023,06-09-2024,1010.91,72291.49,C3883,NULL,0,Rejected
P3884,C3884,Male,76,Auto,08-01-2024,08-01-2025,946.89,96704.46,C3884,01-01-2025,4599.44,Settled
P3885,C3885,Female,35,Travel,23-08-2023,23-08-2024,111.75,101611.94,C3885,27-03-2024,5310.06,Pending
P3886,C3886,Male,21,Health,16-01-2024,16-01-2025,522.21,99884.01,C3886,NULL,0,Rejected
P3887,C3887,Female,67,Auto,08-04-2024,08-04-2025,738.6,66780.95,C3887,24-07-2024,1497.58,Pending
P3888,C3888,Male,35,Health,29-01-2024,29-01-2025,277.98,79786.53,C3888,10-04-2024,3371.35,Settled
P3889,C3889,Female,72,Auto,12-09-2023,12-09-2024,607.34,103679.64,C3889,NULL,0,Rejected
P3890,C3890,Male,69,Travel,27-10-2023,27-10-2024,274.77,92793.55,C3890,13-03-2024,1099.88,Settled
P3891,C3891,Female,22,Travel,07-06-2024,07-06-2025,404.87,103106.03,C3891,NULL,0,Rejected
P3892,C3892,Male,38,Home,25-05-2024,25-05-2025,923.99,64187.8,C3892,21-08-2024,4344.41,Settled
P3893,C3893,Female,66,Health,03-03-2024,03-03-2025,171.09,53153.73,C3893,NULL,0,Rejected
P3894,C3894,Male,45,Health,02-04-2024,02-04-2025,521.99,90351,C3894,09-04-2024,820.24,Pending
P3895,C3895,Female,81,Travel,23-04-2024,23-04-2025,1077.02,22652.94,C3895,NULL,0,Rejected
P3896,C3896,Male,37,Home,23-11-2023,23-11-2024,899.21,88552.4,C3896,26-09-2024,4359.52,Settled
P3897,C3897,Female,48,Travel,28-01-2024,28-01-2025,205.84,108222.33,C3897,20-06-2024,3869.01,Settled
P3898,C3898,Male,22,Travel,27-04-2024,27-04-2025,611.15,44092.92,C3898,18-04-2025,2536.13,Pending
P3899,C3899,Female,21,Life,21-02-2024,21-02-2025,799.82,76190.74,C3899,NULL,0,Rejected
P3900,C3900,Male,76,Home,11-04-2024,11-04-2025,222.42,98591.02,C3900,26-10-2024,2583.46,Settled
P3901,C3901,Female,40,Travel,06-09-2023,06-09-2024,929.21,81573.98,C3901,NULL,0,Rejected
P3902,C3902,Male,54,Health,06-09-2023,06-09-2024,571.01,45412.29,C3902,24-05-2024,2833.48,Pending
P3903,C3903,Female,58,Life,30-05-2024,30-05-2025,633.33,86023.23,C3903,24-10-2024,4174,Pending
P3904,C3904,Male,66,Life,21-07-2023,21-07-2024,892.49,52696.85,C3904,15-09-2023,2096.22,Settled
P3905,C3905,Female,55,Travel,20-07-2023,20-07-2024,289.37,35139.74,C3905,NULL,0,Rejected
P3906,C3906,Male,40,Travel,03-12-2023,03-12-2024,319.68,95534.47,C3906,NULL,0,Rejected
P3907,C3907,Female,26,Travel,17-01-2024,17-01-2025,743.23,101994.82,C3907,NULL,0,Rejected
P3908,C3908,Male,42,Travel,28-10-2023,28-10-2024,891.49,67917.2,C3908,27-09-2024,3853.92,Pending
P3909,C3909,Female,25,Health,07-12-2023,07-12-2024,772.67,28343.01,C3909,02-08-2024,2813,Settled
P3910,C3910,Male,35,Home,30-06-2024,30-06-2025,612.83,48533.3,C3910,11-01-2025,1591.43,Settled
P3911,C3911,Female,77,Travel,04-06-2024,04-06-2025,264.15,17324.21,C3911,16-03-2025,2119.03,Settled
P3912,C3912,Male,69,Travel,29-11-2023,29-11-2024,240.33,109769.46,C3912,01-10-2024,1700.03,Settled
P3913,C3913,Female,52,Home,25-11-2023,25-11-2024,651.82,57369.32,C3913,NULL,0,Rejected
P3914,C3914,Male,51,Health,30-07-2023,30-07-2024,632.85,80447.79,C3914,11-03-2024,4387.2,Settled
P3915,C3915,Female,74,Travel,31-10-2023,31-10-2024,506.08,18001.84,C3915,19-11-2023,5067.81,Pending
P3916,C3916,Male,86,Health,11-12-2023,11-12-2024,997.97,68332.87,C3916,10-08-2024,3742.27,Settled
P3917,C3917,Female,66,Auto,20-09-2023,20-09-2024,136.6,74412.37,C3917,NULL,0,Rejected
P3918,C3918,Male,55,Life,07-02-2024,07-02-2025,898.94,80048.08,C3918,29-10-2024,3348.4,Pending
P3919,C3919,Female,37,Travel,03-07-2024,03-07-2025,789.79,102998.07,C3919,NULL,0,Rejected
P3920,C3920,Male,81,Travel,06-11-2023,06-11-2024,285.35,99876.62,C3920,01-06-2024,3627.14,Settled
P3921,C3921,Female,27,Travel,07-07-2024,07-07-2025,792.42,84562.11,C3921,29-03-2025,2249.7,Settled
P3922,C3922,Male,50,Travel,14-01-2024,14-01-2025,148.92,99699.49,C3922,27-07-2024,2494.91,Settled
P3923,C3923,Female,28,Health,07-05-2024,07-05-2025,696.67,101202.34,C3923,NULL,0,Rejected
P3924,C3924,Male,69,Health,11-12-2023,11-12-2024,609.05,101458.16,C3924,NULL,0,Rejected
P3925,C3925,Female,64,Travel,26-08-2023,26-08-2024,956.47,57823.01,C3925,27-09-2023,1914.5,Settled
P3926,C3926,Male,71,Travel,15-07-2023,15-07-2024,124.7,12083.44,C3926,14-02-2024,3755.53,Settled
P3927,C3927,Female,65,Auto,02-06-2024,02-06-2025,437.4,13155.83,C3927,NULL,0,Rejected
P3928,C3928,Male,59,Travel,27-12-2023,27-12-2024,976.66,54858.81,C3928,15-07-2024,4645.41,Pending
P3929,C3929,Female,55,Life,04-10-2023,04-10-2024,872.64,70416.79,C3929,06-06-2024,5036.18,Settled
P3930,C3930,Male,22,Health,04-04-2024,04-04-2025,348.81,79709.62,C3930,NULL,0,Rejected
P3931,C3931,Female,81,Home,29-03-2024,29-03-2025,405.05,16708.59,C3931,NULL,0,Rejected
P3932,C3932,Male,18,Health,23-02-2024,23-02-2025,139.17,78510.27,C3932,11-12-2024,5348.92,Pending
P3933,C3933,Female,48,Travel,23-01-2024,23-01-2025,348,53420.09,C3933,09-04-2024,3009.63,Settled
P3934,C3934,Male,56,Life,12-08-2023,12-08-2024,500.13,74976.15,C3934,NULL,0,Rejected
P3935,C3935,Female,67,Travel,05-02-2024,05-02-2025,211.99,72988.31,C3935,11-12-2024,2191.13,Pending
P3936,C3936,Male,26,Travel,23-10-2023,23-10-2024,585.04,35969.31,C3936,14-03-2024,4374.16,Pending
P3937,C3937,Female,65,Travel,15-12-2023,15-12-2024,1080.81,85042.84,C3937,NULL,0,Rejected
P3938,C3938,Male,38,Health,01-08-2023,01-08-2024,519.93,60583.07,C3938,04-08-2023,2469.23,Pending
P3939,C3939,Female,43,Life,20-11-2023,20-11-2024,947.04,24982.11,C3939,NULL,0,Rejected
P3940,C3940,Male,40,Travel,27-04-2024,27-04-2025,523.22,104683.26,C3940,14-01-2025,3856.45,Settled
P3941,C3941,Female,36,Travel,25-07-2023,25-07-2024,135.7,62742.87,C3941,NULL,0,Rejected
P3942,C3942,Male,58,Travel,11-08-2023,11-08-2024,482.65,72808.92,C3942,22-01-2024,986.45,Pending
P3943,C3943,Female,75,Travel,06-07-2024,06-07-2025,1031.61,55164.9,C3943,NULL,0,Rejected
P3944,C3944,Male,71,Health,23-10-2023,23-10-2024,883.44,92892.89,C3944,09-02-2024,819.72,Settled
P3945,C3945,Female,23,Life,19-05-2024,19-05-2025,170.17,43002.73,C3945,12-02-2025,1987.75,Pending
P3946,C3946,Male,82,Health,03-03-2024,03-03-2025,850.87,27184.91,C3946,07-01-2025,1091.15,Pending
P3947,C3947,Female,40,Travel,07-04-2024,07-04-2025,863.21,39843.43,C3947,NULL,0,Rejected
P3948,C3948,Male,59,Travel,26-09-2023,26-09-2024,239.27,20399.76,C3948,22-08-2024,2174.56,Pending
P3949,C3949,Female,67,Travel,14-09-2023,14-09-2024,801.77,42870.62,C3949,07-02-2024,3024.03,Pending
P3950,C3950,Male,21,Life,02-08-2023,02-08-2024,107.55,100327.84,C3950,NULL,0,Rejected
P3951,C3951,Female,43,Health,04-07-2024,04-07-2025,570.34,55285.14,C3951,16-06-2025,1143.68,Settled
P3952,C3952,Male,69,Life,31-01-2024,31-01-2025,720.09,48518.06,C3952,NULL,0,Rejected
P3953,C3953,Female,49,Health,07-04-2024,07-04-2025,576.66,81486.75,C3953,NULL,0,Rejected
P3954,C3954,Male,77,Travel,03-02-2024,03-02-2025,945.11,56500.94,C3954,01-09-2024,1001.66,Pending
P3955,C3955,Female,49,Travel,05-03-2024,05-03-2025,573.96,28029,C3955,NULL,0,Rejected
P3956,C3956,Male,77,Travel,04-03-2024,04-03-2025,964.66,79603.79,C3956,NULL,0,Rejected
P3957,C3957,Female,73,Health,23-06-2024,23-06-2025,169.85,33326.21,C3957,02-05-2025,4875.81,Settled
P3958,C3958,Male,52,Health,14-04-2024,14-04-2025,466.37,30579.8,C3958,NULL,0,Rejected
P3959,C3959,Female,59,Health,22-08-2023,22-08-2024,642.19,93812.6,C3959,05-06-2024,2073.38,Pending
P3960,C3960,Male,71,Health,04-12-2023,04-12-2024,283.45,89913.95,C3960,05-01-2024,1618.23,Settled
P3961,C3961,Female,37,Travel,29-05-2024,29-05-2025,553.75,25050.09,C3961,04-07-2024,580.65,Pending
P3962,C3962,Male,23,Home,13-08-2023,13-08-2024,219.86,85160.67,C3962,NULL,0,Rejected
P3963,C3963,Female,81,Auto,06-03-2024,06-03-2025,654.73,44100.15,C3963,NULL,0,Rejected
P3964,C3964,Male,68,Home,22-02-2024,22-02-2025,193.14,24507.07,C3964,NULL,0,Rejected
P3965,C3965,Female,31,Travel,19-12-2023,19-12-2024,834.76,78320.04,C3965,22-01-2024,5019.05,Settled
P3966,C3966,Male,73,Auto,03-10-2023,03-10-2024,1059.39,77197.91,C3966,20-12-2023,2294.58,Pending
P3967,C3967,Female,32,Travel,12-01-2024,12-01-2025,388.62,79297.33,C3967,NULL,0,Rejected
P3968,C3968,Male,51,Health,02-06-2024,02-06-2025,1057.35,83154.14,C3968,NULL,0,Rejected
P3969,C3969,Female,43,Health,17-08-2023,17-08-2024,594.11,22037.41,C3969,NULL,0,Rejected
P3970,C3970,Male,49,Health,13-02-2024,13-02-2025,851.41,87994.35,C3970,09-03-2024,3545.55,Settled
P3971,C3971,Female,18,Auto,07-02-2024,07-02-2025,140.13,91488.45,C3971,09-10-2024,5351.24,Settled
P3972,C3972,Male,66,Travel,10-01-2024,10-01-2025,631.83,81565.57,C3972,NULL,0,Rejected
P3973,C3973,Female,58,Auto,21-04-2024,21-04-2025,746.02,46864.09,C3973,NULL,0,Rejected
P3974,C3974,Male,47,Life,28-09-2023,28-09-2024,129.45,30729.79,C3974,18-12-2023,5382.35,Settled
P3975,C3975,Female,85,Travel,29-08-2023,29-08-2024,912.09,83869.34,C3975,05-11-2023,2488.37,Pending
P3976,C3976,Male,53,Home,25-12-2023,25-12-2024,105.34,38230.91,C3976,NULL,0,Rejected
P3977,C3977,Female,61,Life,09-03-2024,09-03-2025,231.93,76008.67,C3977,NULL,0,Rejected
P3978,C3978,Male,63,Travel,26-07-2023,26-07-2024,843.14,84874.66,C3978,08-04-2024,4080.7,Settled
P3979,C3979,Female,51,Auto,16-03-2024,16-03-2025,833.24,27137.11,C3979,25-06-2024,2464.86,Settled
P3980,C3980,Male,48,Health,07-08-2023,07-08-2024,380.18,27830.66,C3980,NULL,0,Rejected
P3981,C3981,Female,63,Health,05-11-2023,05-11-2024,433,49646.71,C3981,08-09-2024,4578.49,Settled
P3982,C3982,Male,64,Travel,19-04-2024,19-04-2025,403.42,99106.6,C3982,NULL,0,Rejected
P3983,C3983,Female,71,Health,24-06-2024,24-06-2025,242.99,98164.44,C3983,17-01-2025,548.96,Settled
P3984,C3984,Male,33,Travel,14-08-2023,14-08-2024,977.31,79308.39,C3984,NULL,0,Rejected
P3985,C3985,Female,64,Health,18-05-2024,18-05-2025,564.06,107784.67,C3985,NULL,0,Rejected
P3986,C3986,Male,25,Health,22-10-2023,22-10-2024,350.34,38193.11,C3986,NULL,0,Rejected
P3987,C3987,Female,35,Travel,17-05-2024,17-05-2025,1072.79,104140.96,C3987,NULL,0,Rejected
P3988,C3988,Male,29,Travel,13-10-2023,13-10-2024,213.04,86450.54,C3988,23-06-2024,5326.1,Settled
P3989,C3989,Female,51,Travel,27-07-2023,27-07-2024,967.29,70197.14,C3989,14-12-2023,4515.19,Settled
P3990,C3990,Male,59,Life,08-11-2023,08-11-2024,192.57,31673.27,C3990,06-02-2024,4160.35,Pending
P3991,C3991,Female,28,Travel,03-09-2023,03-09-2024,924.01,86758.56,C3991,03-08-2024,1567.34,Settled
P3992,C3992,Male,48,Auto,18-12-2023,18-12-2024,778.53,107643.04,C3992,16-07-2024,1071.88,Pending
P3993,C3993,Female,82,Health,11-03-2024,11-03-2025,500.68,39517.29,C3993,13-12-2024,4020.59,Pending
P3994,C3994,Male,19,Home,19-03-2024,19-03-2025,330.52,88635.9,C3994,NULL,0,Rejected
P3995,C3995,Female,55,Travel,21-11-2023,21-11-2024,154.1,88480.18,C3995,28-05-2024,742.49,Settled
P3996,C3996,Male,41,Travel,16-04-2024,16-04-2025,468.44,90701.33,C3996,31-10-2024,1172.54,Settled
P3997,C3997,Female,43,Auto,17-02-2024,17-02-2025,1040.99,12780.58,C3997,25-12-2024,2192.02,Settled
P3998,C3998,Male,84,Travel,07-12-2023,07-12-2024,911.69,42451.08,C3998,NULL,0,Rejected
P3999,C3999,Female,78,Health,05-02-2024,05-02-2025,552.78,15094.82,C3999,NULL,0,Rejected
P4000,C4000,Male,27,Travel,03-08-2023,03-08-2024,112.79,83359.9,C4000,28-10-2023,3703.01,Pending
P4001,C4001,Female,52,Auto,08-08-2023,08-08-2024,608.78,27364.5,C4001,04-08-2024,511.14,Settled
P4002,C4002,Male,76,Life,11-07-2024,11-07-2025,590.88,79456.41,C4002,NULL,0,Rejected
P4003,C4003,Female,52,Travel,06-02-2024,06-02-2025,247.25,37157.83,C4003,NULL,0,Rejected
P4004,C4004,Male,49,Auto,01-10-2023,01-10-2024,285.42,109153.12,C4004,NULL,0,Rejected
P4005,C4005,Female,19,Travel,05-01-2024,05-01-2025,135.87,86200.8,C4005,NULL,0,Rejected
P4006,C4006,Male,26,Health,13-08-2023,13-08-2024,395.51,19689.56,C4006,NULL,0,Rejected
P4007,C4007,Female,35,Home,07-10-2023,07-10-2024,647.19,70247.22,C4007,NULL,0,Rejected
P4008,C4008,Male,66,Travel,22-09-2023,22-09-2024,594.11,92020.92,C4008,17-01-2024,3731.22,Pending
P4009,C4009,Female,37,Travel,04-10-2023,04-10-2024,441.51,98878.44,C4009,04-11-2023,3820.77,Settled
P4010,C4010,Male,19,Travel,31-05-2024,31-05-2025,1006.14,76584.81,C4010,21-07-2024,5077.43,Settled
P4011,C4011,Female,67,Auto,26-05-2024,26-05-2025,613.58,38546.05,C4011,NULL,0,Rejected
P4012,C4012,Male,38,Life,03-02-2024,03-02-2025,335.19,83213.77,C4012,10-07-2024,4470.98,Settled
P4013,C4013,Female,56,Life,26-09-2023,26-09-2024,589.27,24049.6,C4013,NULL,0,Rejected
P4014,C4014,Male,49,Auto,20-04-2024,20-04-2025,149.55,94736.25,C4014,31-01-2025,1662.85,Settled
P4015,C4015,Female,32,Home,09-03-2024,09-03-2025,266.67,85237.5,C4015,NULL,0,Rejected
P4016,C4016,Male,78,Health,16-03-2024,16-03-2025,277.06,66320.06,C4016,13-06-2024,4830.08,Pending
P4017,C4017,Female,37,Health,08-01-2024,08-01-2025,262.48,65521.99,C4017,NULL,0,Rejected
P4018,C4018,Male,51,Health,26-03-2024,26-03-2025,957.8,71069.12,C4018,NULL,0,Rejected
P4019,C4019,Female,57,Auto,09-08-2023,09-08-2024,794.07,47574.47,C4019,30-12-2023,3604.08,Pending
P4020,C4020,Male,76,Health,30-04-2024,30-04-2025,164.74,74301.2,C4020,NULL,0,Rejected
P4021,C4021,Female,22,Life,08-11-2023,08-11-2024,408.25,54131.33,C4021,NULL,0,Rejected
P4022,C4022,Male,45,Life,28-08-2023,28-08-2024,703.59,88502.98,C4022,NULL,0,Rejected
P4023,C4023,Female,83,Home,19-08-2023,19-08-2024,707.01,54023.39,C4023,28-11-2023,2000.63,Settled
P4024,C4024,Male,63,Travel,27-07-2023,27-07-2024,126.37,28864.61,C4024,NULL,0,Rejected
P4025,C4025,Female,44,Travel,23-10-2023,23-10-2024,494.97,42508.25,C4025,NULL,0,Rejected
P4026,C4026,Male,64,Home,01-10-2023,01-10-2024,796.34,15234.4,C4026,10-08-2024,4933.62,Settled
P4027,C4027,Female,21,Auto,13-09-2023,13-09-2024,255.22,63342.65,C4027,27-07-2024,650.04,Settled
P4028,C4028,Male,23,Travel,10-05-2024,10-05-2025,733.68,37478.4,C4028,07-05-2025,535.52,Pending
P4029,C4029,Female,37,Travel,07-05-2024,07-05-2025,274.08,45308.21,C4029,28-01-2025,4252.64,Pending
P4030,C4030,Male,73,Travel,29-03-2024,29-03-2025,379.49,64568.78,C4030,16-04-2024,5455.99,Pending
P4031,C4031,Female,78,Travel,01-04-2024,01-04-2025,684.43,71756.82,C4031,27-07-2024,5399.29,Settled
P4032,C4032,Male,39,Health,13-08-2023,13-08-2024,1043.04,101685.67,C4032,NULL,0,Rejected
P4033,C4033,Female,74,Auto,07-08-2023,07-08-2024,699.78,90505.76,C4033,NULL,0,Rejected
P4034,C4034,Male,84,Travel,08-11-2023,08-11-2024,540.6,27231.47,C4034,11-09-2024,1136.28,Settled
P4035,C4035,Female,79,Travel,09-11-2023,09-11-2024,829.06,66199.99,C4035,15-11-2023,4851.57,Settled
P4036,C4036,Male,20,Travel,05-06-2024,05-06-2025,1037.94,103739.75,C4036,28-04-2025,4994.77,Settled
P4037,C4037,Female,30,Travel,22-12-2023,22-12-2024,456.9,19073.97,C4037,24-11-2024,4783.63,Settled
P4038,C4038,Male,43,Travel,14-08-2023,14-08-2024,419.19,32098.23,C4038,NULL,0,Rejected
P4039,C4039,Female,56,Travel,24-12-2023,24-12-2024,478.22,24052.34,C4039,09-02-2024,2073.34,Pending
P4040,C4040,Male,84,Travel,15-04-2024,15-04-2025,579.78,56220.21,C4040,NULL,0,Rejected
P4041,C4041,Female,70,Life,26-05-2024,26-05-2025,290.28,107143.38,C4041,07-12-2024,5401.82,Pending
P4042,C4042,Male,85,Health,17-02-2024,17-02-2025,468.08,80446.89,C4042,NULL,0,Rejected
P4043,C4043,Female,58,Home,02-12-2023,02-12-2024,541.65,58645.08,C4043,02-06-2024,5063.78,Pending
P4044,C4044,Male,23,Auto,14-05-2024,14-05-2025,570.4,36678.31,C4044,NULL,0,Rejected
P4045,C4045,Female,50,Travel,20-07-2023,20-07-2024,535.66,30186.11,C4045,NULL,0,Rejected
P4046,C4046,Male,63,Travel,19-09-2023,19-09-2024,111.91,47291.79,C4046,17-02-2024,966.55,Pending
P4047,C4047,Female,63,Auto,10-10-2023,10-10-2024,1090.97,85305.24,C4047,NULL,0,Rejected
P4048,C4048,Male,84,Travel,17-07-2023,17-07-2024,310.51,73315.46,C4048,28-12-2023,3062.71,Settled
P4049,C4049,Female,19,Health,25-03-2024,25-03-2025,616.05,25350.43,C4049,NULL,0,Rejected
P4050,C4050,Male,67,Home,26-09-2023,26-09-2024,701.82,88137.04,C4050,29-12-2023,2869.26,Pending
P4051,C4051,Female,39,Health,07-06-2024,07-06-2025,449.69,84070.58,C4051,NULL,0,Rejected
P4052,C4052,Male,54,Life,21-10-2023,21-10-2024,294.94,68796.13,C4052,NULL,0,Rejected
P4053,C4053,Female,35,Travel,22-04-2024,22-04-2025,155.68,39326.47,C4053,NULL,0,Rejected
P4054,C4054,Male,38,Travel,03-08-2023,03-08-2024,606.47,23787.29,C4054,02-02-2024,5170.72,Pending
P4055,C4055,Female,48,Travel,03-06-2024,03-06-2025,906.62,51852.96,C4055,NULL,0,Rejected
P4056,C4056,Male,28,Auto,29-07-2023,29-07-2024,1022.24,104119.44,C4056,01-03-2024,2038.4,Settled
P4057,C4057,Female,49,Travel,06-04-2024,06-04-2025,672.06,101884.22,C4057,NULL,0,Rejected
P4058,C4058,Male,71,Travel,14-01-2024,14-01-2025,910.89,80252.99,C4058,NULL,0,Rejected
P4059,C4059,Female,39,Travel,30-09-2023,30-09-2024,123.16,69204.37,C4059,NULL,0,Rejected
P4060,C4060,Male,79,Home,15-12-2023,15-12-2024,333.42,76206.64,C4060,14-08-2024,5403.6,Settled
P4061,C4061,Female,56,Travel,03-09-2023,03-09-2024,201.01,97836.61,C4061,NULL,0,Rejected
P4062,C4062,Male,65,Home,10-02-2024,10-02-2025,220.06,98826.83,C4062,14-05-2024,2428.96,Settled
P4063,C4063,Female,35,Travel,29-02-2024,28-02-2025,1068.72,17887.09,C4063,03-01-2025,1795.71,Pending
P4064,C4064,Male,18,Home,10-01-2024,10-01-2025,448.73,69552.05,C4064,27-01-2024,3785.31,Pending
P4065,C4065,Female,43,Health,03-04-2024,03-04-2025,681.82,69831.11,C4065,22-04-2024,4993.51,Settled
P4066,C4066,Male,56,Auto,14-05-2024,14-05-2025,1052.21,55556.47,C4066,30-11-2024,4120.47,Settled
P4067,C4067,Female,45,Health,31-08-2023,31-08-2024,315.39,26796.53,C4067,29-04-2024,3283.81,Pending
P4068,C4068,Male,36,Health,03-08-2023,03-08-2024,113.03,18015.96,C4068,NULL,0,Rejected
P4069,C4069,Female,57,Home,22-09-2023,22-09-2024,670.12,107950.66,C4069,23-11-2023,4583.4,Settled
P4070,C4070,Male,81,Travel,07-11-2023,07-11-2024,718.09,103507.95,C4070,13-11-2023,2254.01,Settled
P4071,C4071,Female,22,Travel,12-12-2023,12-12-2024,723.01,22685.75,C4071,02-05-2024,4858.05,Pending
P4072,C4072,Male,42,Health,06-12-2023,06-12-2024,538.24,17134.3,C4072,04-04-2024,2300.17,Settled
P4073,C4073,Female,71,Travel,17-08-2023,17-08-2024,732.8,93039.72,C4073,27-10-2023,4269.92,Settled
P4074,C4074,Male,62,Travel,07-10-2023,07-10-2024,964.72,58715.51,C4074,21-05-2024,742.5,Settled
P4075,C4075,Female,73,Health,01-01-2024,01-01-2025,1063.21,20080.7,C4075,NULL,0,Rejected
P4076,C4076,Male,22,Travel,04-09-2023,04-09-2024,700.54,57190.18,C4076,27-10-2023,4279.66,Settled
P4077,C4077,Female,84,Home,01-04-2024,01-04-2025,212.6,77843.71,C4077,NULL,0,Rejected
P4078,C4078,Male,55,Life,21-05-2024,21-05-2025,689.29,49014.43,C4078,NULL,0,Rejected
P4079,C4079,Female,61,Travel,14-07-2023,14-07-2024,200.16,76244.67,C4079,07-10-2023,2002.15,Settled
P4080,C4080,Male,58,Travel,30-06-2024,30-06-2025,751.5,53420.16,C4080,NULL,0,Rejected
P4081,C4081,Female,21,Home,07-08-2023,07-08-2024,100.35,30731.12,C4081,12-02-2024,3195.35,Pending
P4082,C4082,Male,42,Home,01-12-2023,01-12-2024,917.97,96010.68,C4082,01-12-2024,4915.37,Pending
P4083,C4083,Female,23,Health,15-08-2023,15-08-2024,136.8,48725.88,C4083,NULL,0,Rejected
P4084,C4084,Male,23,Travel,17-08-2023,17-08-2024,660.85,34848.41,C4084,03-04-2024,698.38,Pending
P4085,C4085,Female,47,Travel,17-10-2023,17-10-2024,951.45,38463.01,C4085,NULL,0,Rejected
P4086,C4086,Male,78,Life,06-11-2023,06-11-2024,533.76,96878.52,C4086,NULL,0,Rejected
P4087,C4087,Female,19,Travel,27-08-2023,27-08-2024,701.44,50262.01,C4087,NULL,0,Rejected
P4088,C4088,Male,26,Travel,27-08-2023,27-08-2024,304.62,36201.85,C4088,NULL,0,Rejected
P4089,C4089,Female,44,Health,11-12-2023,11-12-2024,503.43,23399.03,C4089,NULL,0,Rejected
P4090,C4090,Male,44,Auto,16-01-2024,16-01-2025,1000.19,27730.58,C4090,NULL,0,Rejected
P4091,C4091,Female,84,Travel,19-05-2024,19-05-2025,680.02,85490.21,C4091,01-03-2025,1503.38,Pending
P4092,C4092,Male,32,Health,02-07-2024,02-07-2025,423.28,108177.04,C4092,NULL,0,Rejected
P4093,C4093,Female,20,Travel,30-11-2023,30-11-2024,613.6,100543.53,C4093,23-08-2024,1975.1,Settled
P4094,C4094,Male,43,Auto,07-06-2024,07-06-2025,300.17,92348.07,C4094,NULL,0,Rejected
P4095,C4095,Female,82,Health,06-11-2023,06-11-2024,1006.56,87098.19,C4095,NULL,0,Rejected
P4096,C4096,Male,53,Travel,26-02-2024,26-02-2025,852.22,81115.84,C4096,NULL,0,Rejected
P4097,C4097,Female,64,Auto,20-01-2024,20-01-2025,314.19,106825.97,C4097,NULL,0,Rejected
P4098,C4098,Male,74,Life,07-02-2024,07-02-2025,871.86,49294.88,C4098,NULL,0,Rejected
P4099,C4099,Female,66,Health,14-04-2024,14-04-2025,512.89,104467.25,C4099,NULL,0,Rejected
P4100,C4100,Male,36,Life,25-07-2023,25-07-2024,1017.68,108755.02,C4100,NULL,0,Rejected
P4101,C4101,Female,29,Health,01-07-2024,01-07-2025,372.93,46574.27,C4101,NULL,0,Rejected
P4102,C4102,Male,41,Home,31-08-2023,31-08-2024,401.21,21124.04,C4102,NULL,0,Rejected
P4103,C4103,Female,31,Life,03-05-2024,03-05-2025,544.24,31645.8,C4103,02-11-2024,927.02,Settled
P4104,C4104,Male,81,Travel,29-03-2024,29-03-2025,274.17,10296.37,C4104,NULL,0,Rejected
P4105,C4105,Female,75,Life,08-02-2024,08-02-2025,165.4,11411.2,C4105,NULL,0,Rejected
P4106,C4106,Male,30,Life,16-04-2024,16-04-2025,589.45,17060.03,C4106,07-02-2025,1967.18,Pending
P4107,C4107,Female,66,Auto,05-09-2023,05-09-2024,903.15,77477.62,C4107,NULL,0,Rejected
P4108,C4108,Male,72,Auto,31-03-2024,31-03-2025,885.3,44039.52,C4108,NULL,0,Rejected
P4109,C4109,Female,29,Auto,26-04-2024,26-04-2025,584.76,33031.1,C4109,NULL,0,Rejected
P4110,C4110,Male,41,Travel,01-10-2023,01-10-2024,496.09,49089.25,C4110,NULL,0,Rejected
P4111,C4111,Female,65,Travel,04-02-2024,04-02-2025,967.27,50275.75,C4111,28-01-2025,3459.56,Pending
P4112,C4112,Male,24,Travel,27-04-2024,27-04-2025,549.86,84900.38,C4112,NULL,0,Rejected
P4113,C4113,Female,35,Travel,03-12-2023,03-12-2024,260.83,30116.45,C4113,13-10-2024,3884.78,Pending
P4114,C4114,Male,63,Life,11-12-2023,11-12-2024,826.85,106696.64,C4114,NULL,0,Rejected
P4115,C4115,Female,45,Travel,10-04-2024,10-04-2025,814.8,74889.47,C4115,22-09-2024,627,Settled
P4116,C4116,Male,51,Travel,03-04-2024,03-04-2025,812.63,77196.35,C4116,NULL,0,Rejected
P4117,C4117,Female,38,Health,05-03-2024,05-03-2025,861.41,100918.72,C4117,NULL,0,Rejected
P4118,C4118,Male,54,Home,04-06-2024,04-06-2025,975.23,52858.08,C4118,10-06-2024,748,Settled
P4119,C4119,Female,31,Health,14-02-2024,14-02-2025,930.37,24504.24,C4119,NULL,0,Rejected
P4120,C4120,Male,26,Travel,18-10-2023,18-10-2024,1069.39,12580.57,C4120,25-10-2023,901.79,Pending
P4121,C4121,Female,79,Travel,04-01-2024,04-01-2025,830.43,91090.55,C4121,19-08-2024,3677.63,Settled
P4122,C4122,Male,34,Travel,18-02-2024,18-02-2025,172.04,28567.08,C4122,NULL,0,Rejected
P4123,C4123,Female,65,Travel,12-03-2024,12-03-2025,134.09,90924.72,C4123,30-06-2024,4221.9,Pending
P4124,C4124,Male,22,Travel,02-08-2023,02-08-2024,902.88,51879.99,C4124,NULL,0,Rejected
P4125,C4125,Female,21,Life,06-06-2024,06-06-2025,803.38,40668.36,C4125,NULL,0,Rejected
